Ejecucion_1,Ejecucion_2,Ejecucion_3,Ejecucion_4,Ejecucion_5,Ejecucion_6
0,263,6169,1507,2567,2557
0,2384,6180,1518,2567,2557
2767,263,6185,1528,2567,2557
2804,263,6174,1539,2567,2551
2831,263,6153,1545,2567,2551
2853,2379,6147,1555,2567,2551
2863,263,6142,1561,2567,2551
2880,263,6136,1566,2567,2551
742,2374,6142,1571,2567,2551
1571,2374,6147,1577,2567,2551
2917,263,6158,1588,2567,2551
2923,2374,6169,1588,2567,2551
2928,263,6174,1593,2567,2551
2933,263,258,1598,2567,2557
2939,2368,258,1604,2567,2557
2944,12618,258,1604,2567,2557
1598,12629,258,1604,2567,2557
1604,12634,258,1609,2567,2557
1604,12618,258,1614,2567,2557
1609,263,6190,1614,2567,2557
1609,263,6185,1614,2567,2557
1609,263,6185,1620,2567,2551
1609,263,6180,1620,2567,2551
1604,263,6174,1620,2573,2551
1604,263,6174,1620,2578,2551
1604,2357,6180,1620,2583,2551
1604,263,6185,1614,2589,2551
1604,263,6190,1614,2589,2551
2955,263,258,1614,2594,2551
2950,2363,6185,1609,2600,2551
2944,2363,258,1604,2600,2551
2944,263,775,1604,2605,2551
2939,2363,6180,1604,2605,2551
2933,2363,2320,1604,2605,2551
2928,263,6180,1604,1415,2546
2923,263,6180,1604,2088,2546
1582,2363,6174,1598,2094,2546
2912,12607,6169,1598,1421,2546
1577,12613,6169,1598,1421,2540
2912,12613,769,1598,1421,2540
1577,2363,6163,1598,1421,2546
748,12623,769,1598,1421,2546
1571,12623,769,1598,1421,2546
742,263,769,1598,1421,2546
737,263,769,1598,1421,2540
2880,263,769,1598,2099,2540
2880,12693,769,1598,2627,2540
2874,12715,6691,1598,2627,2540
2874,12736,6696,1598,2627,2540
2874,12758,6696,1598,2627,2540
2874,12790,6691,1598,2627,2540
2869,12817,6686,1593,2627,2540
2869,12849,769,1593,1421,2540
2869,12876,2304,1593,1421,2546
2863,269,769,1588,1421,2546
2863,12952,2309,1582,2621,2546
2858,12989,6153,1582,2616,2546
2853,269,2309,1582,2616,2546
2853,13059,2309,1577,1415,2546
2847,13086,6163,1577,1415,2551
2842,13119,6169,1571,1415,2546
2836,13135,2314,1571,1415,2551
13598,2740,6180,1566,1415,2546
13592,274,769,1566,2088,2546
13592,13129,769,1561,2605,2546
13587,13119,769,1555,2605,2546
13587,13124,769,1550,2605,2546
13582,13124,6153,1550,2600,2546
13576,13119,769,1545,2600,2546
2826,13113,769,1539,2600,2546
2826,13108,769,1539,2600,2546
2820,13097,6153,1539,2600,2546
2820,13086,769,1534,2600,2546
2820,13076,769,1534,2600,2546
2820,13054,769,1528,2600,2551
2815,269,769,1528,2600,2557
2815,13000,6136,1528,2600,2557
13501,12984,764,1523,2594,2562
13495,12973,764,1523,2594,2562
13490,12952,764,1523,2594,2567
13485,12925,6126,1518,2589,2567
13479,12903,6126,1518,2589,2573
2804,12893,6126,1518,2589,2583
13425,12893,6126,1512,2583,2589
13399,12887,764,1512,2583,2600
2788,12871,769,1512,2578,2600
13361,12866,769,1507,2578,2605
13366,12866,6158,1507,2578,2605
13361,12849,6163,1507,2578,1415
13355,12839,6169,1501,2573,1415
13350,12823,6174,1501,2573,1415
13350,12812,6174,1501,2567,1415
13350,12806,6180,1496,2567,1415
13345,12806,6180,1496,2567,1421
13312,12796,6174,1496,2567,1421
13307,12790,6158,1496,2567,1421
13291,12774,769,1491,2567,1421
13275,12763,769,1491,2567,2632
13264,12742,2304,1491,2562,2637
13253,12715,769,1491,2562,1431
13248,263,769,1485,2567,1437
13226,263,769,1485,2567,1442
13232,263,6158,1485,2567,2142
13237,2374,769,1485,2573,1458
13237,2374,769,1485,2573,1464
13226,263,769,1480,2573,1475
13221,263,764,1480,2578,1480
13199,12688,764,1480,2578,1491
13183,12699,764,1480,2578,1501
13178,12704,764,1480,2578,1512
13178,12715,764,1480,2578,1523
13183,12720,764,1475,2578,1528
13189,12715,764,1475,2578,1539
13194,12699,764,1475,2583,1550
13194,263,764,1475,2583,1555
13199,263,764,1469,2583,1566
13183,263,764,1469,2583,1571
4392,2357,764,1464,2583,1582
13140,263,6110,1464,2583,1593
13108,263,764,1464,2583,1604
13081,12575,764,1464,2583,1609
13054,12570,764,1464,2583,1614
13049,12570,764,1464,2583,1620
13054,263,1383,1464,2578,1625
13065,263,1383,1464,2578,1625
13070,263,764,1458,2578,1631
13081,263,764,1458,2578,1631
13076,263,6104,1458,2578,1636
13043,263,6088,1453,2578,1636
2444,2357,6093,1453,2578,1636
2438,263,6099,1453,2578,1631
12984,263,1378,1453,2578,1631
12968,263,1378,1453,2573,1631
12962,2357,1383,1453,2573,1625
12973,2357,2557,1453,2573,1620
12979,263,2562,1453,2567,1620
12984,2352,1388,1453,2567,1620
12995,263,12295,1453,2567,1614
2438,263,12295,1453,2567,1614
13011,258,1388,1453,2562,1609
4338,258,12300,1448,2562,1609
2438,258,12295,1448,2562,1604
2438,258,2557,1448,2562,1604
2438,258,2551,1448,2562,1604
12995,258,2546,1448,2562,1598
13000,258,2540,1448,2562,1598
13011,258,2540,1448,2562,1593
2438,258,2540,1448,2562,1593
2438,258,2540,1448,2562,1593
12995,258,2535,1448,2562,1588
12989,258,2535,1448,2562,1588
12979,258,2535,1448,2562,1582
12962,258,2535,1448,2562,1582
12952,258,12187,1442,2562,1577
2422,258,2540,1442,2562,1571
12909,775,12203,1442,2562,1566
12898,6180,12209,1442,2562,1566
12876,2320,2540,1437,2562,1561
2411,775,2535,1437,2562,1555
2411,258,12160,1437,2562,1555
2411,258,2530,1437,2562,1550
